Title	Metadata.Publishers	Metrics.Review Score	Metrics.Used Price	Release.Console	Release.Rating	Release.Year
OutRun 2006: Coast 2 Coast	Sega	82	17.95	Sony PSP	E	2006
Warhammer: Battle for Atluma	Namco	55	17.95	Sony PSP	M	2006
SBK: Snowboard Kids		63	19.95	Nintendo DS	E	2006
Tenchu: Dark Secret	Nintendo	37	14.95	Nintendo DS	E	2006
Dungeon Maker: Hunting Ground		70	14.95	Sony PSP	E	2006
Metal Gear Solid: Digital Graphic Novel	Konami	78	17.95	Sony PSP	T	2006
Star Trek: Tactical Assault	Ubisoft	64	17.95	Sony PSP	E	2006
Micro Machines V4		61	17.95	Sony PSP	E	2006
Platypus		59	14.95	Sony PSP	T	2006
Custom Robo Arena	Nintendo	74	17.95	Nintendo DS	T	2006
Gurumin: A Monstrous Adventure		78	13.95	Sony PSP	T	2006
Spider-Man 3	Ubisoft	58	6.95	Sony PSP	M	2006
Wii Fit	Nintendo	80	24.95	Nintendo Wii	T	2007
Halo 3	Microsoft	94	24.95	X360	E	2007
Call of Duty 4: Modern Warfare	Activision	94	29.95	X360	E	2007
Super Mario Galaxy	Nintendo	97	39.95	Nintendo Wii	E	2007
Mario Party DS	Nintendo	72	27.95	Nintendo DS	T	2007
Mario Party 8	Nintendo	62	39.95	Nintendo Wii	T	2007
Guitar Hero III: Legends of Rock	Activision	85	12.95	X360	T	2007
Link's Crossbow Training	Nintendo	68	14.95	Nintendo Wii	E	2007
Guitar Hero III: Legends of Rock	Activision	86	49.95	Nintendo Wii	T	2007
Assassin's Creed	Ubisoft	81	16.95	X360	T	2007
LEGO Star Wars: The Complete Saga		80	17.95	Nintendo Wii	M	2007
Call of Duty 4: Modern Warfare	Activision	94	24.95	PlayStation 3	E	2007
Mario & Sonic at the Olympic Games	"Nintendo,Sega"	67	29.95	Nintendo Wii	E	2007
LEGO Star Wars: The Complete Saga		80	17.95	Nintendo DS	E	2007
Forza Motorsport 2	Microsoft	90	12.95	X360	T	2007
Madden NFL 08	EA	85	9.95	X360	E	2007
Guitar Hero II	Activision	92	17.95	X360	T	2007
Rock Band		92	14.95	X360	E	2007
The Legend of Zelda: Phantom Hourglass	Nintendo	90	24.95	Nintendo DS	E	2007
Pokmon Mystery Dungeon: Explorers of Darkness	Nintendo	59	15.95	Nintendo DS	E	2007
Pokmon Mystery Dungeon: Explorers of Time	Nintendo	59	24.95	Nintendo DS	T	2007
Assassin's Creed	Ubisoft	81	17.95	PlayStation 3	T	2007
Uncharted: Drake's Fortune	Sony	88	24.95	PlayStation 3	T	2007
Mass Effect	Microsoft	91	17.95	X360	T	2007
Cooking Mama 2: Dinner with Friends		70	17.95	Nintendo DS	E	2007
BioShock	2K	96	16.95	X360	T	2007
Super Paper Mario	Nintendo	85	29.95	Nintendo Wii	E	2007
Game Party	Midway	25	14.95	Nintendo Wii	T	2007
Ratchet & Clank: Size Matters	Sony	85	14.95	Sony PSP	E	2007
Dance Dance Revolution Hottest Party	Konami	73	17.95	Nintendo Wii	T	2007
Cooking Mama: Cook Off		61	14.95	Nintendo Wii	M	2007
Gran Turismo 5: Prologue	Sony	80	24.95	PlayStation 3	E	2007
Professor Layton and the Curious Village	Nintendo	85	23.95	Nintendo DS	E	2007
Resident Evil 4	Capcom	91	16.95	Nintendo Wii	T	2007
The Elder Scrolls IV: Oblivion	Ubisoft	93	17.95	PlayStation 3	T	2007
Transformers: Autobots	Activision	67	17.95	Nintendo DS	E	2007
Transformers: Decepticons	Activision	66	17.95	Nintendo DS	M	2007
Diddy Kong Racing DS	Nintendo	63	24.95	Nintendo DS	T	2007
Big Brain Academy: Wii Degree	Nintendo	68	19.95	Nintendo Wii	M	2007
Need for Speed: ProStreet	EA	72	16.95	X360	T	2007
Deal or No Deal		20	11.95	Nintendo DS	E	2007
LEGO Star Wars: The Complete Saga		80	17.95	X360	T	2007
Sonic and the Secret Rings	Sega	69	16.95	Nintendo Wii	E	2007
The Orange Box		96	17.95	X360	E	2007
Crackdown	Microsoft	83	14.95	X360	M	2007
Rock Band		92	14.95	PlayStation 3	M	2007
Tiger Woods PGA Tour 08	EA	72	17.95	Nintendo Wii	T	2007
WWE Smackdown vs. Raw 2008	THQ	71	12.95	X360	T	2007
Madden NFL 08	EA	81	9.95	PlayStation 3	T	2007
Call of Duty 4: Modern Warfare	Activision	75	19.95	Nintendo DS	T	2007
MySims	EA	68	17.95	Nintendo Wii	T	2007
Mario Strikers Charged	Nintendo	79	29.95	Nintendo Wii	E	2007
Star Wars Battlefront: Renegade Squadron		73	16.95	Sony PSP	T	2007
Flash Focus: Vision Training in Minutes a Day	Nintendo	59	17.95	Nintendo DS	T	2007
Metroid Prime 3: Corruption	Nintendo	90	19.95	Nintendo Wii	T	2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...	Ubisoft	86	14.95	X360	T	2007
Madden NFL 08	EA	76	12.95	Nintendo Wii	M	2007
Ratchet & Clank Future: Tools of Destruction	Sony	89	22.95	PlayStation 3	E	2007
LEGO Star Wars: The Complete Saga		80	17.95	PlayStation 3	M	2007
Rayman Raving Rabbids 2	Ubisoft	67	17.95	Nintendo Wii	T	2007
NBA 2K8	2K	81	9.95	X360	M	2007
Namco Museum DS	Namco	67	17.95	Nintendo DS	E	2007
Need for Speed: ProStreet	EA	73	16.95	PlayStation 3	T	2007
Blazing Angels: Squadrons of WWII	Ubisoft	57	16.95	Nintendo Wii	E	2007
Drawn to Life	THQ	73	17.95	Nintendo DS	T	2007
EA Playground	EA	66	17.95	Nintendo Wii	T	2007
Major League Baseball 2K7	2K	79	9.95	X360	E	2007
Resident Evil: The Umbrella Chronicles	"Capcom,Nintendo"	75	19.95	Nintendo Wii	T	2007
NCAA Football 08	EA	81	9.95	X360	E	2007
Spectrobes		63	14.95	Nintendo DS	E	2007
The Sims 2: Castaway	EA	66	16.95	Nintendo DS	M	2007
WWE Smackdown vs. Raw 2008	THQ	74	14.95	PlayStation 3	E	2007
Madden NFL 08	EA	75	9.95	Sony PSP	E	2007
NBA Live 08	EA	73	9.95	PlayStation 3	M	2007
The Simpsons Game	EA	69	17.95	Nintendo DS	M	2007
Ace Combat 6: Fires of Liberation	Namco	80	19.95	X360	E	2007
Heavenly Sword	Sony	79	24.95	PlayStation 3	E	2007
Ninja Gaiden Sigma		88	19.95	PlayStation 3	E	2007
Ben 10: Protector of the Earth		63	16.95	Nintendo Wii	T	2007
The Simpsons Game	EA	71	17.95	X360	T	2007
CrossworDS		67	17.95	Nintendo DS	T	2007
Sonic Rush Adventure	Sega	78	24.95	Nintendo DS	T	2007
Tiger Woods PGA Tour 08	EA	80	14.95	X360	T	2007
Tony Hawk's Proving Ground	Activision	72	16.95	X360	T	2007
Call of Duty: Roads to Victory	Activision	64	24.95	Sony PSP	E	2007
Transformers: The Game	Activision	52	14.95	X360	M	2007
NBA 2K8	2K	81	9.95	PlayStation 3	M	2007
Medal of Honor: Heroes 2	EA	69	17.95	Sony PSP	E	2007
Spider-Man 3	Activision	63	11.95	X360	E	2007
Tom Clancy's Rainbow Six: Vegas	Ubisoft	86	16.95	PlayStation 3	E	2007
Need for Speed: ProStreet	EA	61	16.95	Nintendo Wii	M	2007
NBA LIVE 08	EA	73	9.95	X360	T	2007
Dance Dance Revolution Universe 2	Konami	65	19.95	X360	T	2007
MX vs. ATV Untamed	THQ	70	17.95	X360	T	2007
Final Fantasy IV	SquareEnix	85	17.95	Nintendo DS	T	2007
NBA Street Homecourt	EA	80	7.95	X360	T	2007
The Simpsons Game	EA	64	17.95	Nintendo Wii	T	2007
Winter Sports: The Ultimate Challenge		52	16.95	Nintendo Wii	E	2007
WWE Smackdown vs. Raw 2008	THQ	68	16.95	Sony PSP	E	2007
Tiger Woods PGA Tour 07	EA	71	17.95	Nintendo Wii	T	2007
Crash of the Titans		73	17.95	Nintendo DS	T	2007
Sonic Rivals 2	Sega	60	22.95	Sony PSP	M	2007
Boogie	EA	57	17.95	Nintendo Wii	T	2007
Medal of Honor: Airborne	EA	73	17.95	X360	E	2007
The Sims 2: Castaway	EA	73	17.95	Nintendo Wii	T	2007
Spider-Man 3	Activision	53	14.95	Nintendo Wii	T	2007
Lost Odyssey	Microsoft	78	19.95	X360	T	2007
Bee Movie Game	Activision	58	17.95	Nintendo DS	E	2007
Spider-Man 3	Activision	79	16.95	Nintendo DS	M	2007
Final Fantasy Tactics	SquareEnix	88	17.95	Sony PSP	M	2007
Endless Ocean	Nintendo	72	24.95	Nintendo Wii	E	2007
SingStar	Sony	82	14.95	PlayStation 3	E	2007
Ratatouille	THQ	62	19.95	Nintendo Wii	T	2007
The Sims 2: Pets	EA	65	22.95	Nintendo Wii	T	2007
Two Worlds		50	14.95	X360	M	2007
Crash of the Titans		69	17.95	Nintendo Wii	E	2007
Sonic the Hedgehog	Sega	46	14.95	X360	T	2007
Mega Man Star Force: Dragon	Capcom	60	27.95	Nintendo DS	T	2007
Sonic the Hedgehog	Sega	43	16.95	PlayStation 3	M	2007
Harry Potter and the Order of the Phoenix	EA	69	24.95	Nintendo Wii	T	2007
Nicktoons: Attack of the Toybots	THQ	60	14.95	Nintendo Wii	T	2007
WWE Smackdown vs. Raw 2008	THQ	59	12.95	Nintendo Wii	M	2007
The Simpsons Game	EA	71	17.95	PlayStation 3	E	2007
DiRT		83	17.95	X360	E	2007
Kane & Lynch: Dead Men	Eidos	65	14.95	X360	E	2007
Jam Sessions	Ubisoft	72	8.95	Nintendo DS	T	2007
Monster Hunter Freedom 2	Capcom	72	12.95	Sony PSP	T	2007
Shadowrun	Microsoft	66	12.95	X360	E	2007
Thrillville: Off the Rails		70	16.95	Nintendo Wii	E	2007
Tony Hawk's Proving Ground	Activision	73	12.95	PlayStation 3	E	2007
My Word Coach	Ubisoft	71	15.95	Nintendo DS	T	2007
The World Ends With You	SquareEnix	88	17.95	Nintendo DS	M	2007
The BIGS	2K	66	17.95	Nintendo Wii	M	2007
NCAA Football 08	EA	77	9.95	PlayStation 3	T	2007
Final Fantasy Tactics A2: Grimoire of the Rift	SquareEnix	80	17.95	Nintendo DS	E	2007
Beowulf: The Game	Ubisoft	51	12.95	X360	E	2007
The Darkness	2K	82	14.95	X360	M	2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...	Ubisoft	84	17.95	PlayStation 3	T	2007
Final Fantasy	SquareEnix	67	17.95	Sony PSP	T	2007
Lair	Sony	53	19.95	PlayStation 3	E	2007
Transformers: The Game	Activision	53	17.95	Nintendo Wii	T	2007
Command & Conquer 3: Tiberium Wars	EA	82	24.95	X360	T	2007
Overlord		76	17.95	X360	M	2007
Diner Dash		64	17.95	Nintendo DS	T	2007
Medal of Honor: Heroes 2	EA	73	19.95	Nintendo Wii	E	2007
MX vs. ATV Untamed	THQ	67	17.95	PlayStation 3	T	2007
Time Crisis 4	Namco	60	24.95	PlayStation 3	M	2007
Dragon Ball Z: Budokai Tenkaichi 3	Atari	72	17.95	Nintendo Wii	E	2007
Final Fantasy XII: Revenant Wings	SquareEnix	81	19.95	Nintendo DS	T	2007
SOCOM: U.S. Navy SEALs - Tactical Strike	Sony	72	14.95	Sony PSP	M	2007
Unreal Tournament III	Midway	86	16.95	PlayStation 3	M	2007
Bee Movie Game	Activision	62	14.95	Nintendo Wii	E	2007
Def Jam: Icon	EA	69	17.95	X360	M	2007
Transformers: The Game	Activision	54	17.95	PlayStation 3	E	2007
TimeShift		70	12.95	X360	M	2007
SSX Blur	EA	74	17.95	Nintendo Wii	E	2007
Bleach: The Blade of Fate	Sega	83	17.95	Nintendo DS	E	2007
EA Playground	EA	60	11.95	Nintendo DS	E	2007
Final Fantasy II	SquareEnix	63	17.95	Sony PSP	E	2007
The Eye of Judgment	Sony	75	12.95	PlayStation 3	E	2007
MLB 07: The Show	Sony	77	9.95	PlayStation 3	T	2007
Virtua Fighter 5	Sega	85	14.95	PlayStation 3	M	2007
NiGHTS: Journey of Dreams	Sega	69	14.95	Nintendo Wii	M	2007
Puzzle Quest: Challenge of the Warlords		82	17.95	Nintendo DS	E	2007
NBA Live 08	EA	73	14.95	Sony PSP	E	2007
Kane & Lynch: Dead Men	Eidos	64	19.95	PlayStation 3	E	2007
Crash of the Titans		65	17.95	X360	E	2007
Harry Potter and the Order of the Phoenix	EA	51	17.95	Nintendo DS	E	2007
SimCity DS	EA	69	14.95	Nintendo DS	T	2007
Wario: Master of Disguise	Nintendo	60	14.95	Nintendo DS	E	2007
No More Heroes	Ubisoft	83	17.95	Nintendo Wii	M	2007
BlackSite: Area 51	Midway	62	17.95	X360	E	2007
Shrek the Third	Activision	56	14.95	X360	E	2007
Shrek the Third	Activision	70	16.95	Nintendo DS	T	2007
Surf's Up	Ubisoft	56	14.95	Nintendo DS	T	2007
MLB 07: The Show	Sony	82	9.95	Sony PSP	E	2007
TMNT	Ubisoft	58	19.95	X360	E	2007
Spider-Man: Friend or Foe	Activision	60	17.95	X360	E	2007
Contra 4	Konami	83	17.95	Nintendo DS	T	2007
Phoenix Wright: Ace Attorney - Trials and Tribu...	Capcom	81	17.95	Nintendo DS	T	2007
Disney Pirates of the Caribbean: At World's End	Disney	66	14.95	Nintendo DS	T	2007
Dragon Ball Z: Shin Budokai - Another Road	"Atari,Namco"	65	16.95	Sony PSP	E	2007
Spider-Man 3	Activision	60	17.95	PlayStation 3	E	2007
The Golden Compass	Sega	41	9.95	X360	M	2007
Stuntman: Ignition	THQ	75	14.95	X360	T	2007
Chicken Shoot		27	12.95	Nintendo Wii	E	2007
Shrek the Third	Activision	57	16.95	Nintendo Wii	E	2007
DK: Jungle Climber	Nintendo	77	24.95	Nintendo DS	T	2007
Dragon Quest IV: Chapters of the Chosen	SquareEnix	80	24.95	Nintendo DS	T	2007
300: March to Glory	Eidos	55	14.95	Sony PSP	E	2007
Fire Emblem: Radiant Dawn	Nintendo	78	34.95	Nintendo Wii	T	2007
The Golden Compass	Sega	35	14.95	Nintendo Wii	E	2007
Manhunt 2	Rockstar	62	19.95	Nintendo Wii	E	2007
NASCAR 08	EA	59	12.95	X360	E	2007
Virtua Tennis 3	Sega	80	19.95	PlayStation 3	E	2007
All-Pro Football 2K8	2K	75	7.95	X360	T	2007
Major League Baseball 2K7	2K	74	7.95	PlayStation 3	M	2007
The Warriors	Rockstar	52	17.95	Sony PSP	T	2007
Ghost Rider	2K	49	16.95	Sony PSP	T	2007
Tony Hawk's Proving Ground	Activision	57	16.95	Nintendo Wii	E	2007
Juiced 2: Hot Import Nights	THQ	68	14.95	X360	E	2007
Juiced 2: Hot Import Nights	THQ	72	13.95	Nintendo DS	T	2007
The Simpsons Game	EA	59	16.95	Sony PSP	M	2007
Syphon Filter: Logan's Shadow	Sony	85	16.95	Sony PSP	T	2007
Tiger Woods PGA Tour 08	EA	79	12.95	PlayStation 3	T	2007
Ratatouille	THQ	56	16.95	X360	T	2007
Trauma Center: New Blood	Nintendo	77	17.95	Nintendo Wii	E	2007
Hotel Dusk: Room 215	Nintendo	78	14.95	Nintendo DS	E	2007
Mega Man ZX Advent	Capcom	78	17.95	Nintendo DS	T	2007
Silent Hill: 0rigins	Konami	78	17.95	Sony PSP	E	2007
Harry Potter and the Order of the Phoenix	EA	68	16.95	X360	M	2007
NHL 08	EA	85	9.95	X360	E	2007
Castlevania: The Dracula X Chronicles	Konami	80	16.95	Sony PSP	E	2007
Tony Hawk's Proving Ground	Activision	39	13.95	Nintendo DS	M	2007
Jeanne d'Arc	Sony	87	19.95	Sony PSP	T	2007
BWii: Battalion Wars 2	Nintendo	75	14.95	Nintendo Wii	T	2007
Battlestations: Midway	Eidos	73	17.95	X360	T	2007
Dragon Ball Z: Harukanaru Densetsu	Atari	57	14.95	Nintendo DS	T	2007
Touch the Dead		56	16.95	Nintendo DS	T	2007
The Darkness	2K	80	14.95	PlayStation 3	E	2007
Donkey Kong Barrel Blast	Nintendo	46	29.95	Nintendo Wii	T	2007
The BIGS	2K	79	12.95	X360	M	2007
Armored Core 4	Sega	65	17.95	X360	E	2007
Etrian Odyssey	Nintendo	75	24.95	Nintendo DS	E	2007
Ben 10: Protector of the Earth		60	16.95	Sony PSP	T	2007
Tom Clancy's Splinter Cell: Double Agent	Ubisoft	78	22.95	PlayStation 3	M	2007
Looney Tunes: Acme Arsenal		27	14.95	Nintendo Wii	T	2007
Zack & Wiki: Quest for Barbaros' Treasure	Capcom	87	17.95	Nintendo Wii	E	2007
Monster Jam	Activision	43	17.95	X360	M	2007
Virtua Fighter 5	Sega	89	17.95	X360	E	2007
Lunar Knights	Konami	82	16.95	Nintendo DS	T	2007
Enchanted Arms	Ubisoft	64	17.95	PlayStation 3	E	2007
F.E.A.R.: First Encounter Assault Recon		72	17.95	PlayStation 3	T	2007
Folklore	Sony	75	24.95	PlayStation 3	E	2007
Juiced 2: Hot Import Nights	THQ	71	17.95	PlayStation 3	T	2007
The Elder Scrolls IV: Shivering Isles		86	24.95	X360	E	2007
NHL 08	EA	86	9.95	PlayStation 3	T	2007
NCAA 07 March Madness	EA	67	7.95	X360	E	2007
Rayman Raving Rabbids	Ubisoft	67	16.95	X360	M	2007
Viva Pi$?ata: Party Animals	Microsoft	56	14.95	X360	T	2007
Warriors Orochi		53	19.95	X360	E	2007
Luminous Arc		70	24.95	Nintendo DS	T	2007
Picross DS	Nintendo	83	17.95	Nintendo DS	E	2007
Harry Potter and the Order of the Phoenix	EA	67	17.95	PlayStation 3	E	2007
College Hoops 2K7	2K	81	6.95	PlayStation 3	E	2007
The BIGS	2K	80	22.95	PlayStation 3	T	2007
Stuntman: Ignition	THQ	76	16.95	PlayStation 3	E	2007
Mortal Kombat: Armageddon	Midway	71	24.95	Nintendo Wii	E	2007
Def Jam: Icon	EA	68	16.95	PlayStation 3	E	2007
Soulcalibur Legends	Namco	52	16.95	Nintendo Wii	E	2007
Surf's Up	Ubisoft	64	16.95	Nintendo Wii	T	2007
Planet Puzzle League	Nintendo	86	17.95	Nintendo DS	E	2007
DiRT		83	17.95	PlayStation 3	E	2007
TMNT	Ubisoft	60	17.95	Nintendo Wii	E	2007
Soldier of Fortune: Payback	Activision	50	13.95	X360	M	2007
Dynasty Warriors: Gundam	Namco	60	22.95	PlayStation 3	E	2007
Disney Pirates of the Caribbean: At World's End	Disney	55	14.95	PlayStation 3	M	2007
Bee Movie Game	Activision	71	12.95	X360	T	2007
Dynasty Warriors: Gundam	Namco	55	22.95	X360	M	2007
Golden Axe	Sega	45	14.95	X360	M	2007
Dementium: The Ward		72	17.95	Nintendo DS	M	2007
Rondo of Swords		69	19.95	Nintendo DS	E	2007
Disgaea: Afternoon of Darkness		87	17.95	Sony PSP	M	2007
NASCAR 08	EA	57	14.95	PlayStation 3	M	2007
Dragon Quest Swords: The Masked Queen and the T...	SquareEnix	65	16.95	Nintendo Wii	T	2007
Call of Juarez	Ubisoft	71	14.95	X360	E	2007
College Hoops 2K8	2K	81	9.95	X360	M	2007
Eternal Sonata	Namco	79	27.95	X360	M	2007
Kingdom Under Fire: Circle of Doom	Microsoft	55	14.95	X360	E	2007
Vampire Rain	Microsoft	38	11.95	X360	T	2007
All-Pro Football 2K8	2K	73	9.95	PlayStation 3	T	2007
Mercury Meltdown		77	12.95	Nintendo Wii	E	2007
Conan	THQ	69	17.95	PlayStation 3	E	2007
Godzilla: Unleashed	Atari	44	24.95	Nintendo Wii	E	2007
NBA Live 08	EA	52	14.95	Nintendo Wii	M	2007
Conan	THQ	69	14.95	X360	E	2007
Spider-Man: Friend or Foe	Activision	59	17.95	Nintendo Wii	T	2007
College Hoops 2K8	2K	82	12.95	PlayStation 3	M	2007
NBA 08	Sony	63	9.95	PlayStation 3	M	2007
Thrillville: Off the Rails		73	17.95	X360	E	2007
Geometry Wars: Galaxies		79	14.95	Nintendo DS	T	2007
Rayman Raving Rabbids	Ubisoft	56	17.95	Nintendo DS	M	2007
WordJong		77	17.95	Nintendo DS	M	2007
"Warhammer 40,000: Squad Command"	THQ	67	17.95	Sony PSP	T	2007
Beowulf: The Game	Ubisoft	51	12.95	PlayStation 3	T	2007
The Golden Compass	Sega	40	12.95	PlayStation 3	M	2007
Scarface: The World is Yours		71	22.95	Nintendo Wii	M	2007
Hot Wheels: Beat That!	Activision	43	19.95	X360	T	2007
NHL 2K8	2K	71	6.95	X360	T	2007
NBA Street Homecourt	EA	81	14.95	PlayStation 3	E	2007
Geometry Wars: Galaxies		80	16.95	Nintendo Wii	T	2007
Final Fantasy: Crystal Chronicles - Echoes of Time	SquareEnix	75	24.95	Nintendo DS	T	2007
Godzilla Unleashed: Double Smash	Atari	28	17.95	Nintendo DS	T	2007
MX vs. ATV Untamed	THQ	61	17.95	Nintendo DS	E	2007
WWE SmackDown vs. Raw 2008	THQ	61	14.95	Nintendo DS	T	2007
The BIGS	2K	72	16.95	Sony PSP	M	2007
Brave Story: New Traveler		76	17.95	Sony PSP	T	2007
WipEout Pulse	Sony	82	16.95	Sony PSP	T	2007
TimeShift		70	16.95	PlayStation 3	M	2007
Star Trek: Conquest		49	27.95	Nintendo Wii	T	2007
Beautiful Katamari	Namco	73	17.95	X360	M	2007
Hour of Victory	Midway	37	12.95	X360	M	2007
Fantastic Four: Rise of the Silver Surfer	2K	47	14.95	PlayStation 3	M	2007
SEGA Rally Revo	Sega	77	14.95	X360	E	2007
7 Wonders of the Ancient World		60	17.95	Nintendo DS	T	2007
Draglade		71	16.95	Nintendo DS	M	2007
Final Fantasy Fables: Chocobo Tales	SquareEnix	75	17.95	Nintendo DS	M	2007
Marvel Trading Card Game	Konami	61	16.95	Nintendo DS	M	2007
Crazy Taxi: Fare Wars	Sega	64	17.95	Sony PSP	E	2007
The Golden Compass	Sega	28	14.95	Sony PSP	E	2007
Harry Potter and the Order of the Phoenix	EA	52	16.95	Sony PSP	E	2007
Bladestorm: The Hundred Years' War		58	44.95	PlayStation 3	E	2007
Surf's Up	Ubisoft	61	17.95	X360	E	2007
Blazing Angels 2: Secret Missions of WWII	Ubisoft	72	16.95	X360	M	2007
InuYasha: Secret of the Divine Jewel	Namco	46	24.95	Nintendo DS	T	2007
The Settlers	Ubisoft	39	17.95	Nintendo DS	T	2007
Shrek the Third	Activision	57	22.95	Sony PSP	T	2007
Ratatouille	THQ	55	17.95	PlayStation 3	T	2007
Soldier of Fortune: Payback	Activision	50	14.95	PlayStation 3	E	2007
Heatseeker		62	17.95	Nintendo Wii	T	2007
NHL 2K8		74	9.95	PlayStation 3	E	2007
NCAA March Madness 08	EA	67	12.95	PlayStation 3	E	2007
Fantastic Four: Rise of the Silver Surfer	2K	45	14.95	X360	E	2007
Monster Madness: Battle for Suburbia		55	14.95	X360	E	2007
Pro Evolution Soccer 2008	Konami	76	14.95	X360	M	2007
Blazing Angels 2: Secret Missions of WWII	Ubisoft	70	22.95	PlayStation 3	T	2007
Cake Mania		55	16.95	Nintendo DS	M	2007
River King: Mystic Valley		54	24.95	Nintendo DS	T	2007
Touch Detective 2 1/2		67	14.95	Nintendo DS	T	2007
7 Wonders of the Ancient World		51	17.95	Sony PSP	E	2007
Brooktown High	Konami	51	16.95	Sony PSP	T	2007
Crush	Sega	83	16.95	Sony PSP	E	2007
Jackass: The Game		58	17.95	Sony PSP	E	2007
The Sims 2: Castaway	EA	64	17.95	Sony PSP	T	2007
Test Drive Unlimited	Atari	80	17.95	Sony PSP	M	2007
Thrillville: Off the Rails		72	16.95	Sony PSP	T	2007
Victorious Boxers: Revolution	Ubisoft	59	24.95	Nintendo Wii	E	2007
Bladestorm: The Hundred Years' War		63	34.95	X360	T	2007
Looney Tunes: Acme Arsenal		40	17.95	X360	M	2007
SEGA Rally Revo	Sega	75	16.95	PlayStation 3	T	2007
Death Jr. and the Science Fair of Doom	Konami	47	12.95	Nintendo DS	M	2007
Indianapolis 500 Legends		51	16.95	Nintendo DS	T	2007
Worms: Open Warfare 2	THQ	81	17.95	Nintendo DS	E	2007
Alien Syndrome	Sega	51	12.95	Sony PSP	E	2007
BlackSite: Area 51	Midway	56	17.95	PlayStation 3	E	2007
Code Lyoko: Quest for Infinity		58	17.95	Nintendo Wii	T	2007
Super Swing Golf Season 2		70	19.95	Nintendo Wii	M	2007
FlatOut: Ultimate Carnage		80	16.95	X360	E	2007
Zoids Assault		46	17.95	X360	M	2007
Alien Syndrome	Sega	48	12.95	Nintendo Wii	E	2007
Tetris Evolution	THQ	52	17.95	X360	T	2007
Heroes of Mana	SquareEnix	66	24.95	Nintendo DS	T	2007
Myst	Midway	43	24.95	Nintendo DS	E	2007
Coded Arms: Contagion	Konami	56	14.95	Sony PSP	E	2007
King of Clubs		35	14.95	Nintendo Wii	E	2007
F.E.A.R. Files		66	17.95	X360	E	2007
Ontamarama		71	17.95	Nintendo DS	M	2007
Retro Game Challenge	Namco	77	17.95	Nintendo DS	T	2007
Ultimate Mortal Kombat 3	Midway	73	23.95	Nintendo DS	E	2007
"Warhammer 40,000: Squad Command"	THQ	57	17.95	Nintendo DS	T	2007
Juiced 2: Hot Import Nights	THQ	73	16.95	Sony PSP	E	2007
Pursuit Force: Extreme Justice	Sony	73	14.95	Sony PSP	E	2007
Medal of Honor: Vanguard	EA	56	17.95	Nintendo Wii	T	2007
World Series of Poker 2008: Battle for the Brac...	Activision	74	19.95	X360	E	2007
Pro Evolution Soccer 2008	Konami	74	17.95	PlayStation 3	E	2007
Worms: Open Warfare 2	THQ	80	17.95	Sony PSP	T	2007
Surf's Up	Ubisoft	59	17.95	PlayStation 3	E	2007
Fantastic Four: Rise of the Silver Surfer	2K	39	12.95	Nintendo Wii	E	2007
Brothers in Arms DS	Ubisoft	72	17.95	Nintendo DS	E	2007
Bubble Bobble Double Shot		50	17.95	Nintendo DS	E	2007
Fantastic Four: Rise of the Silver Surfer	2K	35	14.95	Nintendo DS	E	2007
Zendoku	Eidos	68	16.95	Nintendo DS	E	2007
Heatseeker		49	12.95	Sony PSP	T	2007
Manhunt 2	Rockstar	69	7.95	Sony PSP	T	2007
SWAT: Target Liberty		50	12.95	Sony PSP	E	2007
Anubis II		19	9.95	Nintendo Wii	M	2007
Barnyard	THQ	65	17.95	Nintendo Wii	T	2007
Escape from Bug Island	Eidos	37	14.95	Nintendo Wii	T	2007
Octomania		66	14.95	Nintendo Wii	M	2007
Cabela's Big Game Hunter	Activision	51	19.95	X360	E	2007
UEFA Champions League 2006-2007	EA	72	6.95	X360	T	2007
Aliens Vs Predator: Requiem		49	17.95	Sony PSP	T	2007
NBA 08	Sony	75	7.95	Sony PSP	E	2007
Guilty Gear XX ? Core		75	24.95	Nintendo Wii	E	2007
Arkanoid DS	SquareEnix	61	16.95	Nintendo DS	E	2007
Code Lyoko		63	11.95	Nintendo DS	T	2007
Dynasty Warriors DS: Fighter's Battle		56	14.95	Nintendo DS	T	2007
Orcs & Elves	EA	68	14.95	Nintendo DS	T	2007
Prism: Light the Way	Eidos	73	16.95	Nintendo DS	T	2007
Dead Head Fred		75	12.95	Sony PSP	E	2007
Hot Pixel	Atari	55	8.95	Sony PSP	T	2007
The Legend of Heroes III: Song of the Ocean	Namco	58	17.95	Sony PSP	T	2007
SEGA Rally Revo	Sega	74	16.95	Sony PSP	T	2007
Bionicle Heroes	Eidos	52	17.95	Nintendo Wii	T	2007
Burnout Dominator	EA	76	17.95	Sony PSP	T	2007
Samurai Warriors 2: Empires		53	19.95	X360	E	2007
Meteos: Disney Magic	Disney	74	12.95	Nintendo DS	T	2007
Turn It Around		39	9.95	Nintendo DS	E	2007
Cube		60	17.95	Sony PSP	T	2007
Dragoneer's Aria		56	24.95	Sony PSP	E	2007
The Fast and the Furious	Namco	58	22.95	Sony PSP	M	2007
R-Type Command		69	14.95	Sony PSP	M	2007
Virtua Tennis 3	Sega	79	16.95	Sony PSP	M	2007
Virtua Tennis 3	Sega	80	14.95	X360	T	2007
